time,ax,ay,az,atotal
2021-09-03 18:45:44.9950,-0.17,-0.1,-0.1,0.22
2021-09-03 18:45:45.0130,-0.17,-0.02,-0.1,0.19
2021-09-03 18:45:45.0160,-0.2,0.04,-0.13,0.24
2021-09-03 18:45:45.0250,-0.39,0.07,-0.15,0.42
2021-09-03 18:45:45.0350,-0.3,0.05,-0.13,0.33
2021-09-03 18:45:45.0450,-0.2,-0.12,0.03,0.23
2021-09-03 18:45:45.0560,-0.34,-0.33,0.18,0.5
2021-09-03 18:45:45.0650,-0.19,-0.08,0.21,0.29
2021-09-03 18:45:45.0750,0.04,0.12,0.15,0.19
2021-09-03 18:45:45.0860,0.0,-0.09,0.08,0.12
2021-09-03 18:45:45.0950,-0.07,-0.17,0.08,0.2
2021-09-03 18:45:45.1140,-0.17,-0.1,0.18,0.26
2021-09-03 18:45:45.1180,-0.39,-0.28,0.39,0.61
2021-09-03 18:45:45.1250,-0.53,-0.46,0.56,0.89
2021-09-03 18:45:45.1350,-0.53,-0.45,0.74,1.01
2021-09-03 18:45:45.1450,-0.36,-0.33,0.81,0.94
2021-09-03 18:45:45.1550,-0.1,-0.15,0.63,0.65
2021-09-03 18:45:45.1650,0.12,0.06,0.24,0.27
2021-09-03 18:45:45.1750,0.15,0.16,-0.12,0.25
2021-09-03 18:45:45.1850,0.15,0.15,-0.4,0.45
2021-09-03 18:45:45.1950,0.19,0.15,-0.52,0.57
2021-09-03 18:45:45.2120,0.24,0.15,-0.57,0.63
2021-09-03 18:45:45.2160,0.23,0.17,-0.5,0.57
2021-09-03 18:45:45.2240,0.18,0.13,-0.44,0.49
2021-09-03 18:45:45.2350,0.09,-0.06,-0.44,0.45
2021-09-03 18:45:45.2450,0.07,-0.26,-0.57,0.63
2021-09-03 18:45:45.2550,0.14,-0.32,-0.68,0.76
2021-09-03 18:45:45.2650,0.14,-0.25,-0.66,0.71
